CODE,LATIN_NAME,COMMON_NAME
1,Pinus sylvestris,Scots pine
2,Pinus banksiana,Jack pine
8,Larix decidua,European larch
11,Picea abies,Norway spruce
21,Abies alba,Silver fir
30,Fagus sylvatica,European beech
40,Quercus sp.,Oak (unspecified)
41,Quercus robur,English oak
43,Quercus rubra,Red oak
44,Acer platanoides,Norway maple
45,Acer pseudoplatanus,Sycamore maple
46,Ulmus minor,Field elm
48,Fraxinus excelsior,European ash
50,Carpinus betulus,Common hornbeam
60,Betula pendula,Silver birch
66,Crataegus monogyna,Common hawthorn
71,Alnus glutinosa,Black alder
72,Alnus incana,Grey alder
81,Pyrus communis,Common pear
82,Prunus avium,Wild cherry
84,Malus sylvestris,European crab apple
86,Prunus padus,Bird cherry
87,Sorbus aucuparia,Rowan
90,Populus alba,White poplar
91,Populus tremula,Aspen
95,Tilia cordata,Small-leaved lime
97,Salix caprea,Goat willow
98,Prunus serotina,Black cherry
99,Populus berolinensis,Berlin poplar
107,Acer campestre,Field maple
